StateID,Year,Quarter,TotalProd,TaxableBottlesCansProd,TaxableKegsProd,TaxablePremUseProd,TaxFreeExportProd,TaxFreePremUseProd,StocksOnHand
NC,2017,Q2,357234.93,256918.68,80593.64,36235.67,,271.4,112237.0
ND,2017,Q2,3060.29,,,1192.47,0.0,,844.44
OH,2017,Q2,5434477.7,4744297.76,353042.68,18825.44,,943.16,954068.71
OK,2017,Q2,7482.12,,1851.14,2687.62,0.0,,2738.28
OR,2017,Q2,465277.54,295224.28,124090.01,36771.1,,1872.83,116516.47
PA,2017,Q2,1600384.68,1059255.65,254205.64,20289.35,57039.81,1292.08,442399.42
RI,2017,Q2,11415.94,,,2414.87,0.0,227.0,2615.78
SC,2017,Q2,22610.25,6426.04,6641.01,7264.64,,,11095.01
SD,2017,Q2,3028.74,,1009.64,1378.53,0.0,,1583.35
TN,2017,Q2,398383.01,340301.69,18026.16,10355.22,,890.97,107504.15
TX,2017,Q2,5913565.73,4975817.62,272158.68,40376.52,394884.99,2374.68,1075735.28
UT,2017,Q2,61309.27,33553.31,14254.21,2146.5,0.0,,18293.58
VT,2017,Q2,94788.22,49710.62,12377.03,6230.54,,14.5,21651.99
VA,2017,Q2,4338945.98,3694540.91,383495.92,29389.34,,231.32,742923.5
WA,2017,Q2,154792.88,38779.42,60706.69,26203.27,99.2,1133.59,38301.56
WV,2017,Q2,3075.49,,739.15,2143.5,0.0,,1256.2
WI,2017,Q2,3397569.72,2779811.27,,19824.0,22704.55,420.27,834575.79
WY,2017,Q2,10949.93,,2147.49,5780.02,0.0,271.35,1879.19
AL,2017,Q3,14392.2,,2413.11,8239.1,0.0,168.49,4421.86
AK,2017,Q3,56571.29,,19251.04,5471.24,,219.13,12874.29
AZ,2017,Q3,43511.9,15138.18,14702.0,11213.44,0.0,509.38,9956.55
AR,2017,Q3,8199.25,2645.54,1109.97,3977.06,0.0,,1853.64
CA,2017,Q3,5919066.06,4299102.61,561490.23,82594.26,,3652.28,1377428.0
CO,2017,Q3,5572330.03,4813587.34,413940.92,45847.33,,3141.72,1268069.28
CT,2017,Q3,63093.23,33940.14,15839.89,6158.99,,457.83,19170.18
DE,2017,Q3,,,,2091.63,0.0,,
DC,2017,Q3,8416.46,,,2819.29,0.0,0.0,5031.38
FL,2017,Q3,,,274516.37,27633.65,18389.71,1239.64,542016.63
GA,2017,Q3,4134884.79,3509396.62,112648.33,14272.87,,1194.7,920700.71
HI,2017,Q3,21141.95,,8425.04,2012.56,,150.77,5496.35
ID,2017,Q3,12046.6,5435.46,5529.79,2423.77,0.0,,7723.72
IL,2017,Q3,435193.35,332280.64,56228.55,34901.8,,1070.98,94533.14
IN,2017,Q3,52022.12,19240.61,15467.81,12056.8,,532.91,14787.69
